$JunkItMCM	Junk It
$JunkIt_Page_Settings	Настройки
$JunkIt_HotkeyHeader	Горячие клавиши
$JunkIt_Text_Hotkey	Пометить как мусор
$JunkIt_Help_Hotkey	Нажмите эту клавишу в меню с выбранным предметом, чтобы пометить или снять пометку с предмета как "Мусор".
$JunkIt_Transfer_Hotkey	Передать/Продать мусор
$JunkIt_Transfer_Hotkey_Help	При торговле или просмотре контейнера эта клавиша переместит все мусорные предметы в контейнер/НПС, если вы просматриваете свой инвентарь, или получит все мусорные предметы, если вы просматриваете инвентарь контейнера/НПС. При торговле эта клавиша продаст все мусорные предметы из вашего инвентаря торговцу.
$JunkIt_GamepadHotkeyHeader	Настройки геймпада
$JunkIt_GamepadJunkKey	Клавиша мусора на геймпаде
$JunkIt_GamepadJunkKey_Help	Эта клавиша будет помечать/снимать пометку с предметов как мусор при нажатии. При нажатии и удержании эта клавиша будет действовать как клавиша Передать/Продать.
$JunkIt_GamepadTransferHoldTime	Время удержания клавиши Передать/Продать
$JunkIt_GamepadTransferHoldTime_Help	Время в секундах для удержания клавиши мусора на геймпаде, чтобы изменить ее с пометки/снятия пометки предметов на передачу/продажу мусорных предметов.
$JunkIt_ConfirmationsHeader	Настройки подтверждающих сообщений
$JunkIt_ConfirmSellToggle	Подтверждать при продаже мусора
$JunkIt_ConfirmTransferToggle	Подтверждать при передаче/получении мусора
$JunkIt_PriorityHeader	Приоритет массовых действий
$JunkIt_TransferPriority	Приоритет передачи
$JunkIt_TransferPriority_Help	Устанавливает порядок сортировки предметов для передачи в первую очередь. По умолчанию: Вес - От большего к меньшему
$JunkIt_SellPriority	Приоритет продажи
$JunkIt_SellPriority_Help	Устанавливает порядок сортировки предметов для продажи в первую очередь. По умолчанию: Соотношение ценности к весу - От большего к меньшему
$JunkIt_WeightHighToLow_ENUM	Вес [Больше > Меньше]
$JunkIt_WeightLowToHigh_ENUM	Вес [Меньше > Больше]
$JunkIt_ValueHighToLow_ENUM	Ценность [Больше > Меньше]
$JunkIt_ValueLowToHigh_ENUM	Ценность [Меньше > Больше]
$JunkIt_ValueWeightHighToLow_ENUM	Ценность/Вес [Больше > Меньше]
$JunkIt_ValueWeightLowToHigh_ENUM	Ценность/Вес [Меньше > Больше]
$JunkIt_Chaos_ENUM	Хаос - Без приоритета
$JunkIt_ProtectionsHeader	Настройки защиты
$JunkIt_ProtectEquippedToggle	Защитить экипированные предметы
$JunkIt_ProtectEquippedToggle_Help	Предотвращает обработку экипированных предметов как "Мусор"
$JunkIt_ProtectFavoritesToggle	Защитить избранные предметы
$JunkIt_ProtectFavoritesToggle_Help	Предотвращает обработку избранных предметов как "Мусор"
$JunkIt_ProtectEnchantedToggle	Не продавать зачарованные предметы массово
$JunkIt_ProtectEnchantedToggle_Help	Защищает зачарованные мусорные предметы от продажи при массовых продажах.
$JunkIt_MiscSettingsHeader	Разные настройки
$JunkIt_NotifyOnMarkUnmark	Уведомления о пометке/снятии пометки
$JunkIt_NotifyOnMarkUnmark_Help	Включает уведомления каждый раз, когда вы помечаете или снимаете пометку с предметов как мусор
$JunkIt_NotifyOnJunkTransfer	Уведомления о передаче
$JunkIt_NotifyOnJunkTransfer_Help	Включает уведомления, связанные с массовыми действиями передачи
$JunkIt_NotifyOnJunkSell	Уведомления о продаже
$JunkIt_NotifyOnJunkSell_Help	Включает уведомления, связанные с массовыми действиями продажи
$JunkIt_NotifyLargeInventoryLag	Предупреждать о больших передачах инвентаря
$JunkIt_NotifyLargeInventoryLag_Help	Включает предупреждающее сообщение при передаче/продаже в контейнерах, содержащих большое количество предметов. Если в контейнере слишком много предметов, игровой движок тормозит во время передачи предметов. Чем больше предметов в контейнере, тем больше задержка во время передачи предметов как для JunkIt, так и для обычных передач отдельных предметов.
$JunkIt_WarnInventorySizeThreshold	Порог предупреждения о размере инвентаря
$JunkIt_WarnInventorySizeThreshold_Help	Общее количество предметов в контейнере и инвентаре игрока, которое вызовет предупреждение о большом инвентаре. Настройте в зависимости от вашей конфигурации. Слабые компьютеры, вероятно, захотят уменьшить это до 100.
$JunkIt_UtilityHeader	Утилиты
$JunkIt_JunkList_Page	Список мусора
$JunkIt_JunkList_UtilityHeader	Утилиты списка мусора
$JunkIt_ResetJunk	Сбросить список мусора
$JunkIt_ResetingJunk	Сброс мусора, пожалуйста, подождите...
$JunkIt_JunkReset	Список мусора сброшен!
$JunkIt_ResetJunk_Help	Очищает все мусорные предметы и сбрасывает их в предыдущее состояние
$JunkIt_SaveJunkListToFile	Экспортировать список мусора
$JunkIt_SavingJunkList	Экспорт списка, пожалуйста, подождите...
$JunkIt_JunkSaved	Список мусора экспортирован!
$JunkIt_SaveJunkListToFile_Help	Экспортирует текущие помеченные мусорные предметы, это можно позже импортировать для соответствия вашему текущему списку мусора
$JunkIt_AutoSaveJunkListToFile	Автоэкспорт при сохранении
$JunkIt_AutoSaveJunkListToFile_Help	Если включено, список предметов, которые вы пометили как "Мусор", будет экспортироваться в файл каждый раз, когда вы сохраняете игру.
$JunkIt_LoadJunkListFromFile	Импортировать список мусора
$JunkIt_LoadingJunkList	Импорт списка, пожалуйста, подождите...
$JunkIt_JunkLoaded	Список мусора обновлен!
$JunkIt_JunkReplaced	Список мусора заменен!
$JunkIt_LoadJunkListFromFile_Help	Импортирует мусорные предметы из файла
$JunkIt_AutoLoadJunkListFromFile	Автоимпорт в новой игре
$JunkIt_AutoLoadJunkListFromFile_Help	Если включено, новые игры будут автоматически импортировать предметы для предварительной пометки как "Мусор"
$JunkIt_ReplaceJunkListOnLoad	Заменить текущий список мусора при импорте
$JunkIt_ReplaceJunkListOnLoad_Help	Если включено, импорт списка мусора сбросит и заменит ваши текущие помеченные предметы. Если отключено, импортированные предметы списка мусора будут добавлены к вашему текущему списку помеченных предметов.
$JunkIt_JunkList_ListHeader	История списка мусора
$JunkIt_PreviousPage	Предыдущая страница
$JunkIt_NextPage	Следующая страница
$JunkIt_JunkList_Item_Help	Нажмите, чтобы переключить, является ли этот предмет мусором или нет
$AutoloadJunkList_Header	Автоматизированные настройки списка мусора
$JunkIt_TransferConfirmation	Передать мусорные предметы?
$JunkIt_RetrievalConfirmation	Получить мусорные предметы?
$JunkIt_SellConfirmation	Продать мусорные предметы?
$JunkIt_TransferConfirmYes	Передать
$JunkIt_RetrieveConfirmYes	Взять
$JunkIt_SellConfirmYes	Продать
$JunkIt_ConfirmNo	Отмена
$Maintenance_Page	Обслуживание
$AutoloadSettings_Header	Настройки автозагрузки
$Enabled	Включено
$EnabledMaintenance_Help	Снимите этот флажок, если вы не хотите, чтобы загружались переменные, специфичные для мода. Это не применяется к переменным в файле настроек и когда скрипт обновляется до новой версии. Отключение этой опции полезно, когда есть конфликты с другими модами во время автозагрузки.
$LoadingDelay	Задержка загрузки
$LoadingDelayMaintenance_Help	Задержка загрузки настроек в секундах. Полезно, если моду требуется время для инициализации.
$LoadSettings	Загрузить настройки
$LoadSettingsMaintenance_Help	Принуждает мод перезагрузить настройки. Полезно, если автозагрузка отключена.
$ResetSettings	Сбросить настройки
$ResetSettingsMaintenance_Help	Сбросить настройки к значениям по умолчанию.
$LoadSettingsOnReload	Загружать настройки при перезагрузке
$LoadSettingsOnReloadMaintenance_Help	Установите этот флажок, если вы хотите, чтобы настройки загружались каждый раз, когда вы загружаете игру. Полезно, если у вас есть что-то, что возвращает настройки. Эта опция не будет работать, если базовый мод не использует событие OnGameReload или если вы отключили автозагрузку.
$Verbose	Подробный
$VerboseMaintenance_Help	Установите этот флажок, чтобы видеть дополнительную информацию во время работы загрузчика.
$JunkIt_DebugMode	Режим отладки
$JunkIt_DebugMode_Help	Предупреждение: PapyrusUtils требуется для правильной работы режима отладки.
$JunkIt_Confirm	Ok
$JunkIt_AggressiveRefresh	Агрессивное обновление
$JunkIt_AggressiveRefresh_Help	Заставляет пользовательский интерфейс запускать обновление каждые 5 секунд до максимального времени обновления после обработки передачи мусорных предметов. Это крайняя мера, если у вас возникают проблемы с полным обновлением пользовательского интерфейса после передачи мусора.
$JunkIt_AggressiveRefreshMaxInterval	Максимальное время обновления
$JunkIt_AggressiveRefreshMaxInterval	Максимальное количество секунд для агрессивного обновления пользовательского интерфейса. По умолчанию 10 секунд.
$JunkIt_I4IntegrationHeader	Интеграция I4
$JunkIt_UpdateSubTypeDisplay	Переопределить текст типа предмета
$JunkIt_UpdateSubTypeDisplay_Help	Когда включено, предметы, помеченные как Мусор, будут показывать "Мусор" в качестве текста типа предмета в меню инвентаря через Inventory Injector (I4). Отключите, чтобы сохранить исходный текст типа предмета.
$JunkIt_UpdateItemIcon	Переопределить значок инвентаря
$JunkIt_UpdateItemIcon_Help	Когда включено, предметы, помеченные как Мусор, будут отображать значок Мусора в меню инвентаря через Inventory Injector (I4). Эта настройка автоматически отключается, когда активен значок DIII (Dynamic Inventory Icon Injector), так как DIII имеет приоритет.
$JunkIt_DIIIIntegrationHeader	Интеграция DIII
$JunkIt_UseDynamicInventoryIcon	Динамический значок инвентаря
$JunkIt_UseDynamicInventoryIcon_Help	Когда включено, предметы, помеченные как Мусор, будут отображать значок Мусора через Dynamic Inventory Icon Injector (DIII). Эта настройка требует установки DIII и имеет приоритет над настройкой значка I4, когда активна.
