$JunkItMCM	Junk It
$JunkIt_Page_Settings	設定
$JunkIt_HotkeyHeader	ホットキー
$JunkIt_Text_Hotkey	ジャンクとしてマーク
$JunkIt_Help_Hotkey	アイテムが選択されたメニューでこのキーを押すと、アイテムを「ジャンク」としてマークまたはマーク解除します。
$JunkIt_Transfer_Hotkey	ジャンクを転送/売却
$JunkIt_Transfer_Hotkey_Help	取引中またはコンテナを表示している間、このキーを押すと、自分のインベントリを表示している場合はすべてのジャンクアイテムをコンテナ/NPCに転送し、コンテナ/NPCのインベントリを表示している場合はすべてのジャンクアイテムを取得します。取引中、このキーはインベントリ内のすべてのジャンクアイテムを商人に売却します。
$JunkIt_GamepadHotkeyHeader	ゲームパッド設定
$JunkIt_GamepadJunkKey	ゲームパッドジャンクキー
$JunkIt_GamepadJunkKey_Help	このキーを押すと、アイテムをジャンクとしてマーク/マーク解除します。長押しすると、このキーは転送/売却ホットキーとして機能します。
$JunkIt_GamepadTransferHoldTime	転送/売却キーの長押し時間
$JunkIt_GamepadTransferHoldTime_Help	ゲームパッドジャンクキーを長押ししてアイテムのマーク/マーク解除からジャンクアイテムの転送/売却に変更するまでの時間(秒)。
$JunkIt_ConfirmationsHeader	確認メッセージ設定
$JunkIt_ConfirmSellToggle	ジャンク売却時に確認
$JunkIt_ConfirmTransferToggle	ジャンク転送/取得時に確認
$JunkIt_PriorityHeader	一括アクション優先順位
$JunkIt_TransferPriority	転送優先順位
$JunkIt_TransferPriority_Help	最初に転送するアイテムのソート順を設定します。デフォルト:重量 - 高から低
$JunkIt_SellPriority	売却優先順位
$JunkIt_SellPriority_Help	最初に売却するアイテムのソート順を設定します。デフォルト:価値/重量比 - 高から低
$JunkIt_WeightHighToLow_ENUM	重量[高 > 低]
$JunkIt_WeightLowToHigh_ENUM	重量[低 > 高]
$JunkIt_ValueHighToLow_ENUM	価値[高 > 低]
$JunkIt_ValueLowToHigh_ENUM	価値[低 > 高]
$JunkIt_ValueWeightHighToLow_ENUM	価値/重量[高 > 低]
$JunkIt_ValueWeightLowToHigh_ENUM	価値/重量[低 > 高]
$JunkIt_Chaos_ENUM	カオス - 優先順位なし
$JunkIt_ProtectionsHeader	保護設定
$JunkIt_ProtectEquippedToggle	装備アイテムを保護
$JunkIt_ProtectEquippedToggle_Help	装備アイテムが「ジャンク」として扱われるのを防ぎます
$JunkIt_ProtectFavoritesToggle	お気に入りアイテムを保護
$JunkIt_ProtectFavoritesToggle_Help	お気に入りアイテムが「ジャンク」として扱われるのを防ぎます
$JunkIt_ProtectEnchantedToggle	エンチャントアイテムを一括売却しない
$JunkIt_ProtectEnchantedToggle_Help	エンチャントされたジャンクアイテムが一括売却アクションで売却されるのを保護します。
$JunkIt_MiscSettingsHeader	その他の設定
$JunkIt_NotifyOnMarkUnmark	マーク/マーク解除の通知
$JunkIt_NotifyOnMarkUnmark_Help	アイテムをジャンクとしてマークまたはマーク解除するたびに通知を有効にします
$JunkIt_NotifyOnJunkTransfer	転送通知
$JunkIt_NotifyOnJunkTransfer_Help	一括転送アクションに関する通知を有効にします
