$JunkItMCM	Junk It
$JunkIt_Page_Settings	Nastavení
$JunkIt_HotkeyHeader	Klávesové zkratky
$JunkIt_Text_Hotkey	Označit jako odpad
$JunkIt_Help_Hotkey	Stiskněte tuto klávesu v menu s vybraným předmětem pro označení nebo zrušení označení předmětu jako "Odpad".
$JunkIt_Transfer_Hotkey	Přenést/Prodat odpad
$JunkIt_Transfer_Hotkey_Help	Během obchodování nebo prohlížení kontejneru tato klávesa přenese všechny odpadové předměty do kontejneru/NPC, pokud prohlížíte svůj inventář, nebo získá všechny odpadové předměty, pokud prohlížíte inventář kontejneru/NPC. Během smlouvání tato klávesa prodá všechny odpadové předměty ve vašem inventáři obchodníkovi.
$JunkIt_GamepadHotkeyHeader	Nastavení gamepadu
$JunkIt_GamepadJunkKey	Klávesa odpadu na gamepadu
$JunkIt_GamepadJunkKey_Help	Tato klávesa označí/zruší označení předmětů jako odpad při stisknutí. Při stisknutí a podržení tato klávesa místo toho funguje jako klávesa Přenést/Prodat.
$JunkIt_GamepadTransferHoldTime	Doba podržení klávesy Přenést/Prodat
$JunkIt_GamepadTransferHoldTime_Help	Doba v sekundách pro podržení klávesy odpadu na gamepadu pro změnu z označování/rušení označení předmětů na přenášení/prodávání odpadových předmětů.
$JunkIt_ConfirmationsHeader	Nastavení potvrzovacích zpráv
$JunkIt_ConfirmSellToggle	Potvrdit při prodeji odpadu
$JunkIt_ConfirmTransferToggle	Potvrdit při přenosu/získávání odpadu
$JunkIt_PriorityHeader	Priorita hromadných akcí
$JunkIt_TransferPriority	Priorita přenosu
$JunkIt_TransferPriority_Help	Nastaví pořadí řazení předmětů k přenosu jako první. Výchozí: Hmotnost - Vysoká na nízkou
$JunkIt_SellPriority	Priorita prodeje
$JunkIt_SellPriority_Help	Nastaví pořadí řazení předmětů k prodeji jako první. Výchozí: Poměr hodnoty k hmotnosti - Vysoký na nízký
$JunkIt_WeightHighToLow_ENUM	Hmotnost [Vysoká > Nízká]
$JunkIt_WeightLowToHigh_ENUM	Hmotnost [Nízká > Vysoká]
$JunkIt_ValueHighToLow_ENUM	Hodnota [Vysoká > Nízká]
